Bank Handlowy w Warszawie SA,10301029,II Oddział w Warszawie 
Bank Handlowy w Warszawie SA,10301032,III Oddział w Warszawie 
Bank Handlowy w Warszawie SA,10301045,Dom Maklerski Banku Handlowego 
Bank Handlowy w Warszawie SA,10301058,IV Oddział w Warszawie 
Bank Handlowy w Warszawie SA,10301061,VI Oddział w Warszawie 
Bank Handlowy w Warszawie SA,10301074,Oddział w Białymstoku 
Bank Handlowy w Warszawie SA,10301087,Oddział w Bielsku-Białej 
Bank Handlowy w Warszawie SA,10301090,Oddział w Bydgoszczy 
Bank Handlowy w Warszawie SA,10301104,Oddział w Częstochowie 
Bank Handlowy w Warszawie SA,10301117,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301120,Oddział w Gdyni 
Bank Handlowy w Warszawie SA,10301133,Oddział w Gorzowie Wielkopolskim 
Bank Handlowy w Warszawie SA,10301146,Oddział w Kaliszu 
Bank Handlowy w Warszawie SA,10301159,Oddział w Katowicach 
Bank Handlowy w Warszawie SA,10301162,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301175,Oddział w Koninie 
Bank Handlowy w Warszawie SA,10301188,Oddział w Krakowie 
Bank Handlowy w Warszawie SA,10301191,Oddział w Lublinie 
Bank Handlowy w Warszawie SA,10301205,Oddział w Łodzi 
Bank Handlowy w Warszawie SA,10301218,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301221,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301234,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301247,Oddział w Poznaniu 
Bank Handlowy w Warszawie SA,10301250,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301263,Oddział w Słupsku 
Bank Handlowy w Warszawie SA,10301276,Oddział w Szczecinie 
Bank Handlowy w Warszawie SA,10301289,Oddział we Wrocławiu 
Bank Handlowy w Warszawie SA,10301292,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301306,VII Oddział w Warszawie 
Bank Handlowy w Warszawie SA,10301319,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301322,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301335,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301348,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301351,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301364,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301377,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301380,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301393,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301407,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301410,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301423,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301436,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301449,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301452,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301465,Bankowy Punkt Obsługi Klienta 
Bank Handlowy w Warszawie SA,10301478,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301481,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301494,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301508,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301511,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301524,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301537,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301540,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301553,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301566,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301579,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301582,Obsługa Małych i Średnich Przedsiębiorstw 
Bank Handlowy w Warszawie SA,10301595,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301609,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301612,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301625,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301638,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301641,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301654,Obsługa Małych i Średnich Przedsiębiorstw 
Bank Handlowy w Warszawie SA,10301667,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301670,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301683,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301696,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301700,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301713,Bankowy Punkt Obsługi Klienta 
Bank Handlowy w Warszawie SA,10301726,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301739,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301742,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301755,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301768,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301771,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301814,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301827,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301830,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301843,Regionalne Centrum Rozliczeń Olsztyn 
Bank Handlowy w Warszawie SA,10301856,Bankowy Punkt Obsługi Klienta 
Bank Handlowy w Warszawie SA,10301869,Citiconnect Warszawa 
Bank Handlowy w Warszawie SA,10301872,Bankowy Punkt Obsługi Klienta Nr 4 w Warszawie 
Bank Handlowy w Warszawie SA,10301885,Bankowy Punkt Obsługi Klienta Nr 5 w Warszawie 
Bank Handlowy w Warszawie SA,10301898,Bankowy Punkt Obsługi Klienta Nr 6 w Warszawie 
Bank Handlowy w Warszawie SA,10301902,Bankowy Punkt Obsługi Klienta Nr 7 
Bank Handlowy w Warszawie SA,10301915,Bankowy Punkt Obsługi Klienta Nr 8 
Bank Handlowy w Warszawie SA,10301928,Bankowy Punkt Obsługi Klienta Nr 9 
Bank Handlowy w Warszawie SA,10301931,Bankowy Punkt Obsługi Klienta Nr 10 
Bank Handlowy w Warszawie SA,10301944,Bankowy Punkt Obsługi Klienta Nr 11 
